"term","estimate","se","t","p"
"(Intercept)",-2.66850153153682,3.165407037797,-0.843020028600807,0.400413946527152
"methodK",0.332361516034985,0.325968083434664,1.01961367669176,0.308117320222103
"HR_c",-0.000996160200896565,0.0212158521715499,-0.0469535794669798,0.962569531797578
"Age",0.0223043798718565,0.0266388768390876,0.837286797284522,0.403607404421241
"SexM",1.48787930921265,0.606506163169321,2.45319734499923,0.0151766857488884
"arm",0.037093241383907,0.0781944555855065,0.474371758280805,0.635819657493074
"AfYes",-0.858630586677466,0.720387297685038,-1.19190134173197,0.234814793520907
"HTNYes",-0.394657506066934,0.546644469054616,-0.721963777936812,0.471350078709885
"DMYes",0.099981047422614,0.484004420773092,0.206570525250401,0.836573108674932
"ASCVD_anyYes",-0.141684875088512,0.498801025844203,-0.284050889527975,0.776723562868322
"methodK:HR_c",-0.0088389271590518,0.0242518182189831,-0.364464514752677,0.71557540890603
