"term","estimate","se","t","p"
"(Intercept)",-3.7811,3.1649,-1.1946665166366,0.234
"methodK",2.9348,0.7219,4.06514361164842,5.11e-05
"SexM",3.1397,0.7258,4.32593862038161,2e-05
"Age",0.0217,0.0265,0.818762223621767,0.414
"arm",0.0277,0.0779,0.355403729477981,0.723
"AfYes",-0.7487,0.7189,-1.04133446506453,0.299
"HR_c",-0.0035,0.0173,-0.202172045761268,0.84
"HTNYes",-0.3417,0.5443,-0.627784693403195,0.531
"DMYes",0.1663,0.4827,0.344562571814354,0.731
"ASCVD_anyYes",0.0016,0.5029,0.00317590369361108,0.997
"PADYes",-2.3061,1.3493,-1.70909944111682,0.0892
"methodK:SexM",-3.2578,0.8077,-4.03319578660505,5.85e-05
