"outcome","term","estimate","se","t","p","n_rows","n_id"
"O-SYS","(Intercept)",106.6876,16.6193,6.41949565407984,1.34e-09,686,178
"O-SYS","SexM",-5.0157,3.2476,-1.5444480388229,0.124,686,178
"O-SYS","Age",0.36,0.1419,2.53641819720773,0.0122,686,178
"O-SYS","arm",-0.0953,0.3885,-0.245257950538254,0.807,686,178
"O-SYS","AfYes",-0.4013,3.7389,-0.107323331222931,0.915,686,178
"O-SYS","HR_c",-0.0764,0.0652,-1.17327107872409,0.241,686,178
"O-SYS","HTNYes",-1.0355,2.9334,-0.352995547298279,0.725,686,178
"O-SYS","DMYes",6.6708,2.2493,2.96567710872677,0.0033,686,178
"O-SYS","other_ascvdYes",-0.58,2.6865,-0.215897739890007,0.829,686,178
"O-SYS","PADYes",-6.6876,7.0129,-0.953616508281791,0.342,686,178
"O-DIA","(Intercept)",91.0106,12.3027,7.39764275563837,6.2e-12,686,178
"O-DIA","SexM",3.6741,2.4477,1.50108135755136,0.135,686,178
"O-DIA","Age",-0.396,0.1068,-3.70715231444297,0.000289,686,178
"O-DIA","arm",-0.1185,0.2742,-0.432100011998206,0.666,686,178
"O-DIA","AfYes",4.9845,2.7998,1.78033211008546,0.0769,686,178
"O-DIA","HR_c",0.1148,0.0351,3.26844790500199,0.00114,686,178
"O-DIA","HTNYes",-0.9736,2.2106,-0.440419453877771,0.66,686,178
"O-DIA","DMYes",6.2436,1.4822,4.21232389356454,3.37e-05,686,178
"O-DIA","other_ascvdYes",-2.2361,2.0238,-1.10489995941331,0.271,686,178
"O-DIA","PADYes",-7.5619,5.2619,-1.43710546101605,0.153,686,178
"K-SYS","(Intercept)",109.1071,16.8492,6.47549931659758,9.32e-10,686,178
"K-SYS","SexM",-7.6364,3.3054,-2.31027123819384,0.0221,686,178
"K-SYS","Age",0.3733,0.1444,2.58530629640531,0.0106,686,178
"K-SYS","arm",-0.1564,0.3899,-0.401198086270072,0.689,686,178
"K-SYS","AfYes",0.8749,3.7983,0.230339674997943,0.818,686,178
"K-SYS","HR_c",-0.0668,0.0622,-1.07466603772709,0.283,686,178
"K-SYS","HTNYes",0.4697,2.9854,0.157345711637816,0.875,686,178
"K-SYS","DMYes",4.5983,2.2273,2.06454176712495,0.0399,686,178
"K-SYS","other_ascvdYes",-0.239,2.7339,-0.0874310924958551,0.93,686,178
"K-SYS","PADYes",-2.0508,7.1289,-0.287674242180643,0.774,686,178
"K-DIA","(Intercept)",81.431,10.9099,7.46394207948053,3.69e-12,686,178
"K-DIA","SexM",3.2959,2.1449,1.53663576164008,0.126,686,178
"K-DIA","Age",-0.405,0.0937,-4.32273979623772,2.66e-05,686,178
"K-DIA","arm",0.4432,0.2511,1.76531813443744,0.0789,686,178
"K-DIA","AfYes",2.7218,2.4625,1.10527443937423,0.271,686,178
"K-DIA","HR_c",0.093,0.0389,2.39190727628592,0.0171,686,178
"K-DIA","HTNYes",-0.4016,1.9372,-0.2073009009115,0.836,686,178
"K-DIA","DMYes",2.8299,1.4229,1.98877740351337,0.0477,686,178
"K-DIA","other_ascvdYes",-0.9911,1.7739,-0.558701541753884,0.577,686,178
"K-DIA","PADYes",-0.9437,4.6232,-0.204131290235403,0.838,686,178
