"model","term","estimate","se","lower","upper","p","n","n_id"
"O-SYS-C-SYS","(Intercept)",-1.14576700948086,3.00919366499462,-7.04378659287031,4.75225257390859,0.703852269277742,686,178
"O-SYS-C-SYS","Age",0.00470986128697586,0.0413766776811371,-0.0763884269680528,0.0858081495420045,0.909502560456693,686,178
"O-SYS-C-SYS","SexM",2.92222625900679,0.980344976222541,1.00075010561061,4.84370241240297,0.00328970311411697,686,178
"O-SYS-C-SYS","AfYes",-1.71912979837065,1.16001718111448,-3.99276347335503,0.554503876613736,0.139997399661562,686,178
"O-SYS-C-SYS","HR_c",-0.0157681333794508,0.0279010738759541,-0.0704542381763208,0.0389179714174193,0.572486591091622,686,178
"O-SYS-C-SYS","HTNYes",-1.13829435119493,0.886271196188617,-2.87538589572462,0.598797193334758,0.200776914674064,686,178
"O-SYS-C-SYS","DMYes",0.939332312456054,0.781541265958783,-0.592488568823161,2.47115319373527,0.230900350335545,686,178
"O-SYS-C-SYS","ASCVD_anyYes",-0.441493588540395,0.809800956240437,-2.02870346277165,1.14571628569086,0.586330229307105,686,178
"K-SYS-C-SYS","(Intercept)",-1.20569488511176,1.57854684646739,-4.29964670418785,1.88825693396433,0.445928265927899,686,178
"K-SYS-C-SYS","Age",0.0305545590915066,0.0218105412297522,-0.0121941017188077,0.0733032199018208,0.162828424974947,686,178
"K-SYS-C-SYS","SexM",-0.0259228969089093,0.513253881620964,-1.031900504886,0.980054711068179,0.959772522979617,686,178
"K-SYS-C-SYS","AfYes",-0.0103554779018019,0.617769900177466,-1.22118448224963,1.20047352644603,0.986642986293657,686,178
"K-SYS-C-SYS","HR_c",0.00137606574183593,0.015452290625118,-0.0289104238833954,0.0316625553670673,0.92911664187941,686,178
"K-SYS-C-SYS","HTNYes",0.417086191959011,0.458355353655448,-0.481290301205667,1.31546268512369,0.364198549215979,686,178
"K-SYS-C-SYS","DMYes",-0.746737730162453,0.414108913408007,-1.55839120044215,0.0649157401172404,0.0729279046135083,686,178
"K-SYS-C-SYS","ASCVD_anyYes",0.164906566704613,0.422463166962151,-0.663121240541203,0.992934373950429,0.696745773607718,686,178
"O-DIA-C-DIA","(Intercept)",-6.45150056996082,3.30644046149714,-12.9321238744952,0.0291227345735745,0.0527849577454044,686,178
"O-DIA-C-DIA","Age",0.0495375376148948,0.0451881787714829,-0.0390312927772118,0.138106368007001,0.274607806117773,686,178
"O-DIA-C-DIA","SexM",-0.767160277976433,1.07943748382213,-2.88285774626781,1.34853719031494,0.478325723143513,686,178
"O-DIA-C-DIA","AfYes",2.25975932357064,1.24000978985918,-0.170659864553361,4.69017851169464,0.0702046334148326,686,178
"O-DIA-C-DIA","HR_c",0.03794735333076,0.0250195287703518,-0.0110909230591295,0.0869856297206495,0.130148335775249,686,178
"O-DIA-C-DIA","HTNYes",-0.360412163664072,0.979259861592949,-2.27976149238625,1.55893716505811,0.713337496456511,686,178
"O-DIA-C-DIA","DMYes",0.979994681332944,0.796834634504072,-0.581801202295038,2.54179056496093,0.220001134284138,686,178
"O-DIA-C-DIA","ASCVD_anyYes",-1.33931163573164,0.890573503459306,-3.08483570251188,0.406212431048602,0.134618930208919,686,178
"K-DIA-C-DIA","(Intercept)",-0.159956365660633,1.74340961030928,-3.57703920186682,3.25712647054556,0.927006286101479,686,178
"K-DIA-C-DIA","Age",0.00386162882966492,0.0239492696959085,-0.0430789397743157,0.0508021974336456,0.872091718792454,686,178
"K-DIA-C-DIA","SexM",-0.547754385593564,0.567966667420005,-1.66096905373677,0.565460282549645,0.3362195366118,686,178
"K-DIA-C-DIA","AfYes",0.0153347121396136,0.669349414658441,-1.29659014059093,1.32725956487016,0.981746776187183,686,178
"K-DIA-C-DIA","HR_c",-0.0307207425606415,0.0159193927528922,-0.0619227523563102,0.00048126723502722,0.0547613309624549,686,178
"K-DIA-C-DIA","HTNYes",0.653165315049326,0.513937805845618,-0.354152784408085,1.66048341450674,0.205546089282349,686,178
"K-DIA-C-DIA","DMYes",0.24765178645235,0.450840928128395,-0.635996432679303,1.131300005584,0.583441783185812,686,178
"K-DIA-C-DIA","ASCVD_anyYes",0.2512909692071,0.469209034282258,-0.668358737986127,1.17094067640033,0.592966748912133,686,178
