"subgroup","level","estimate","se","df","lower","upper"
"HTN","No",6.01850384048583,1.0872799012516,167.831776720128,3.87199635202777,8.16501132894388
"HTN","Yes",5.02522377691493,0.983072053996431,164.251957660939,3.08413614800466,6.96631140582519
"DM","No",6.28210676515315,1.01451931133221,169.968227141942,4.27942601057087,8.28478751973542
"DM","Yes",4.76162085227411,1.02510827064644,169.33309666564,2.73798286375899,6.78525884078922
"other_ascvd","No",5.35603263223854,1.02611534840924,168.238620637259,3.33031175127481,7.38175351320227
"other_ascvd","Yes",5.68769498517435,1.02631454127087,164.766333042177,3.66127149338916,7.71411847695955
"PAD","No",2.98563744955098,0.543507921858002,162.32335964437,1.9123798658687,4.05889503323326
"PAD","Yes",8.05809016787627,1.77249948214566,165.904350819781,4.55852723929789,11.5576530964546
"Af","No",5.57011078579322,0.963056314303714,165.381185595538,3.66864083209613,7.47158073949031
"Af","Yes",5.47361683163404,1.18544918278671,170.032103137731,3.13352350613968,7.81371015712839
"HR_tertiles","<60",5.74403999595317,1.13917655343028,198.564923147346,3.49760322232223,7.9904767695841
"HR_tertiles","60-100",5.42513127455042,0.965443583742483,170.767766316241,3.51939093378487,7.33087161531598
"HR_tertiles",">100",8.44084226170321,1.56047501726046,322.959015428116,5.37086273071022,11.5108217926962
