"subgroup","level","estimate","se","df","lower","upper"
"HTN","No",6.0185038404956,1.08727990127229,167.831776565158,3.8719963519823,8.16501132900891
"HTN","Yes",5.02522377691706,0.983072054015417,164.251957479728,3.08413614795341,6.9663114058807
"DM","No",6.28210676512669,1.01451931129957,169.968227002883,4.2794260105971,8.28478751965629
"DM","Yes",4.7616208522799,1.02510827061339,169.333096581793,2.73798286382283,6.78525884073698
"other_ascvd","No",5.35603263225125,1.02611534844213,168.238620640847,3.3303117512229,7.3817535132796
"other_ascvd","Yes",5.68769498518187,1.02631454130423,164.766332947753,3.66127149332221,7.71411847704152
"PAD","No",2.98563744953832,0.543507921840708,162.323359466423,1.91237986588135,4.05889503319528
"PAD","Yes",8.05809016786935,1.77249948209007,165.904350833432,4.55852723940284,11.5576530963359
"Af","No",5.57011078579555,0.96305631428138,165.381185244977,3.66864083211285,7.47158073947825
"Af","Yes",5.47361683161711,1.18544918275971,170.032102778854,3.13352350614065,7.81371015709357
"HR_binary","<100",5.48079163041509,0.95561487132685,169.295336468618,3.59433561815234,7.36724764267783
"HR_binary",">=100",8.43138725984752,1.55906510111351,324.751642578692,5.36424518980467,11.4985293298904
