"subgroup","level","estimate","se","df","lower","upper"
"HTN","No",-3.65220904962093,0.813455949646684,196.980100378183,-5.25640947444667,-2.04800862479518
"HTN","Yes",-3.57454677318044,0.73042845188194,191.753661252212,-5.01525302754274,-2.13384051881814
"DM","No",-3.54910630482648,0.759442835426314,196.457198279133,-5.04681317341979,-2.05139943623318
"DM","Yes",-3.67764951797486,0.768057944009464,197.822861530656,-5.19228154735328,-2.16301748859644
"other_ascvd","No",-3.34360498681271,0.767892378113991,197.249793206176,-4.85793759340125,-1.82927238022418
"other_ascvd","Yes",-3.88315083598499,0.763823059584456,193.4268267594,-5.38964227677898,-2.376659395191
"PAD","No",-3.09522044258397,0.404299546402983,195.927088289777,-3.89255808722938,-2.29788279793857
"PAD","Yes",-4.13153538021373,1.3215700668007,195.239600820405,-6.73792124708623,-1.52514951334124
"Af","No",-3.38817832665902,0.718589536864958,197.012597336456,-4.80529312616965,-1.97106352714839
"Af","Yes",-3.83857749614236,0.889877216522964,198.813512481099,-5.59338676720965,-2.08376822507507
"HR_tertiles","<60",-2.83194039979869,0.893756505505679,211.31252427778,-4.59376133386177,-1.07011946573561
"HR_tertiles","60-100",-3.84609509261554,0.738611414255469,197.918952251779,-5.30265337855495,-2.38953680667614
"HR_tertiles",">100",-3.03874897650671,1.35331198229544,295.312660699188,-5.70210692358552,-0.375391029427901
