"subgroup","level","estimate","se","df","lower","upper"
"HTN","No",-5.62311602493923,1.63083946866327,164.446306873033,-8.84319998432155,-2.40303206555692
"HTN","Yes",-6.4073934053875,1.47876707577011,162.550286639429,-9.32746370177047,-3.48732310900452
"DM","No",-6.38629594961016,1.51551979703719,170.465782271234,-9.37789874945715,-3.39469314976316
"DM","Yes",-5.6442134807159,1.53440139293561,166.986435854066,-8.67353938315611,-2.61488757827569
"other_ascvd","No",-5.49712678438919,1.53805358261949,165.349494055123,-8.53388254051021,-2.46037102826817
"other_ascvd","Yes",-6.53338264593672,1.54363253579359,162.265910651164,-9.58158059117279,-3.48518470070065
"PAD","No",-3.09486695511166,0.819944303385434,159.333853198395,-4.71422782949529,-1.47550608072803
"PAD","Yes",-8.93564247520544,2.66249285399875,163.579217545751,-14.1929271938525,-3.67835775655837
"Af","No",-7.12784278534162,1.44806675269352,162.265422873166,-9.98732786191354,-4.26835770876971
"Af","Yes",-4.90266664498442,1.77417369043996,166.586326955606,-8.40542971870357,-1.39990357126528
"HR_tertiles","<60",-7.18733941569729,1.69416369658432,207.802842760837,-10.527290987881,-3.84738784351356
"HR_tertiles","60-100",-5.46925536797037,1.48604284769634,165.90232666056,-8.40324828511337,-2.53526245082738
"HR_tertiles",">100",-5.79089644405899,2.13559399822153,344.73154707383,-9.99133071779182,-1.59046217032616
