"subgroup","level","estimate","se","df","lower","upper"
"HTN","No",-2.3738350600209,1.30116851296369,185.720862002229,-4.94080571509462,0.193135595052811
"HTN","Yes",-3.89669661154068,1.17605264363964,181.756633055908,-6.21716815274193,-1.57622507033944
"DM","No",-4.02634683355008,1.21431879019056,187.67739495504,-6.42181488265316,-1.630878784447
"DM","Yes",-2.24418483801344,1.22693299029557,187.222887518207,-4.66457485672791,0.176205180701017
"other_ascvd","No",-2.96737234943913,1.22801593542325,186.10702744142,-5.38999320362861,-0.544751495249647
"other_ascvd","Yes",-3.30315932212236,1.22784885240483,182.381530414139,-5.72577442156685,-0.880544222677869
"PAD","No",-0.938309787488318,0.650085503671946,179.937208567677,-2.22108157059432,0.344461995617684
"PAD","Yes",-5.33222188406573,2.12078894476712,183.576005249693,-9.51647635098278,-1.14796741714867
"Af","No",-2.47788869192003,1.15224097464318,183.120778623182,-4.75126388333363,-0.204513500506439
"Af","Yes",-3.79264297963388,1.41894071722348,188.081026810435,-6.59172658332778,-0.99355937593997
"HR_tertiles","<60",-2.48262420986161,1.389005732764,214.536293405662,-5.22047012574403,0.255221706020802
"HR_tertiles","60-100",-3.37062651544117,1.17624080037824,185.850016049614,-5.69112676341315,-1.05012626746918
"HR_tertiles",">100",-2.33675315747866,1.90722405288279,341.112351960047,-6.08815381808435,1.41464750312703
