"Variable","Error","No error","Difference (Error - No) [95% CI]","SMD"
"Age (years)","69.18 ± 9.45","67.05 ± 9.51","2.13 (0.43, 3.83)","0.22"
"Arm circumference (cm)","25.93 ± 3.16","27.07 ± 3.18","-1.14 (-1.71, -0.57)","-0.36"
"BMI (kg/m^2)","25.15 ± 4.11","26.47 ± 3.96","-1.31 (-2.05, -0.58)","-0.33"
"Heart rate (bpm)","78.01 ± 18.05","72.49 ± 14.13","5.52 (2.37, 8.67)","0.37"
"Male sex","104 (72.73%)","589 (79.49%)","-0.07 (-0.15, 0.01)","-0.16"
"Hypertension","101 (70.63%)","532 (71.79%)","-0.01 (-0.09, 0.07)","-0.03"
"Diabetes mellitus","43 (30.07%)","299 (40.35%)","-0.10 (-0.19, -0.02)","-0.22"
"Atrial fibrillation","57 (39.86%)","95 (12.82%)","0.27 (0.19, 0.35)","0.65"
"Heart failure","31 (21.68%)","106 (14.30%)","0.07 (0.00, 0.15)","0.19"
"Peripheral artery disease","15 (10.49%)","21 (2.83%)","0.08 (0.02, 0.13)","0.31"
"ASCVD (any)","67 (46.85%)","431 (58.16%)","-0.11 (-0.20, -0.02)","-0.23"
