"Variable","Error","No error","Difference (Error - No) [95% CI]","SMD"
"Age (years)","70.72 ± 8.92","65.67 ± 9.68","5.06 (2.31, 7.81)","0.54"
"Arm circumference (cm)","25.90 ± 3.24","27.50 ± 3.06","-1.60 (-2.55, -0.64)","-0.51"
"BMI (kg/m^2)","25.08 ± 3.93","27.05 ± 3.86","-1.96 (-3.13, -0.79)","-0.51"
"Heart rate (bpm)","76.02 ± 17.11","72.15 ± 12.92","3.86 (-0.90, 8.63)","0.27"
"Male sex","48 (73.85%)","108 (81.82%)","-0.08 (-0.21, 0.05)","-0.19"
"Hypertension","44 (67.69%)","98 (74.24%)","-0.07 (-0.20, 0.07)","-0.14"
"Diabetes mellitus","21 (32.31%)","56 (42.42%)","-0.10 (-0.24, 0.04)","-0.21"
"Atrial fibrillation","22 (33.85%)","10 (7.58%)","0.26 (0.14, 0.39)","0.69"
"Heart failure","14 (21.54%)","17 (12.88%)","0.09 (-0.03, 0.20)","0.23"
"Peripheral artery disease","5 (7.69%)","3 (2.27%)","0.05 (-0.02, 0.12)","0.25"
"ASCVD (any)","35 (53.85%)","75 (56.82%)","-0.03 (-0.18, 0.12)","-0.06"
